group,n_features,fold_roc_auc_mean,fold_roc_auc_sd,fold_pr_auc_mean,fold_pr_auc_sd,fold_brier_mean,fold_brier_sd,oof_roc_auc,roc_auc_ci_low,roc_auc_ci_high,oof_pr_auc,pr_auc_ci_low,pr_auc_ci_high,oof_brier,brier_ci_low,brier_ci_high,delta_roc_auc,delta_pr_auc,delta_brier
A,28,0.9089084864715118,0.037620731004589465,0.9610232705692239,0.020457720531064965,0.11600213763631312,0.019770459097904237,0.9091899137136634,0.8661287368545433,0.9457311027913173,0.959485308499078,0.931543698911887,0.9800215777788259,0.11436032893468444,0.09393649183331078,0.13617222391875797,,,
A+B,50,0.9171335303352111,0.03897050595185744,0.9656877670262642,0.01918004554671027,0.1160216058339793,0.017137651145692646,0.9184887325123565,0.8822473995119731,0.9510941505259687,0.9655994118420064,0.9449998653201459,0.9828409027734591,0.1147043354752631,0.0981796539023622,0.13253199206189584,0.009298818798693098,0.00611410334292839,0.0003440065405786591
A+B+C,53,0.9323631914304182,0.03698869824431036,0.9715020557068871,0.019842657292288915,0.10842941471923866,0.01703106190697344,0.9344056295551646,0.8991301728053757,0.9647910406881638,0.9716243664851589,0.9494357490703367,0.9872498972303096,0.10714665619394761,0.0920548512379002,0.12375501453575719,0.015916897042808076,0.006024954643152558,-0.0075576792813154825
