method,roc_auc,pr_auc,brier,log_loss,ece,maximum_calibration_error,calibration_intercept,calibration_slope
GradientBoosting_Raw,0.9318924352852475,0.9701016150788804,0.09482533818202155,0.30287602510975503,0.04252572632136534,0.11850882455469802,-0.16614442888351919,0.8279003192248029
GradientBoosting_Isotonic,0.9279550975957107,0.9679376470707457,0.09509840847646371,0.31024043929807527,0.03979463886060011,0.13627245109806566,-0.06645229003143786,1.2780502485204828
GradientBoosting_Sigmoid,0.9295467872999916,0.968630058124554,0.09904579961726599,0.3291553541171493,0.06660540633668033,0.23344467538261998,-0.29357265022890233,1.628282344912819
